Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
396,2012-01-01,0,<null>,<null>,<null>,0,0,324.7 NO,325.6 NO,<null>,<null>,<null>,<null>,
4080,2012-01-01,0,<null>,<null>,<null>,0,0,324.7 NO,325.6 NO,<null>,<null>,<null>,<null>,
13467,2012-01-01,0,<null>,<null>,<null>,0,0,324.7 NO,325.6 NO,<null>,<null>,<null>,<null>,
22581,2012-01-01,0,<null>,<null>,<null>,0,0,324.7 NO,325.6 NO,<null>,<null>,<null>,<null>,
396,2012-01-02,0,<null>,<null>,<null>,0,0,328.7 NO,305.3 O,<null>,12.85,<null>,<null>,
4080,2012-01-02,0,<null>,<null>,<null>,0,0,328.7 NO,305.3 O,<null>,12.85,<null>,<null>,
13467,2012-01-02,0,<null>,<null>,<null>,0,0,328.7 NO,305.3 O,<null>,12.85,<null>,<null>,
22581,2012-01-02,0,<null>,<null>,<null>,0,0,328.7 NO,305.3 O,<null>,12.85,<null>,<null>,
396,2012-01-03,0,<null>,<null>,<null>,0,0,274.1 O,292.5 O,<null>,21.65,<null>,<null>,
4080,2012-01-03,0,<null>,<null>,<null>,0,0,274.1 O,292.5 O,<null>,21.65,<null>,<null>,
13467,2012-01-03,0,<null>,<null>,<null>,0,0,274.1 O,292.5 O,<null>,21.65,<null>,<null>,
22581,2012-01-03,0,<null>,<null>,<null>,0,0,274.1 O,292.5 O,<null>,21.65,<null>,<null>,
396,2012-01-04,0,<null>,<null>,<null>,0,0,308.8 O,318.3 NO,<null>,6.3,<null>,<null>,
4080,2012-01-04,0,<null>,<null>,<null>,0,0,308.8 O,318.3 NO,<null>,6.3,<null>,<null>,
13467,2012-01-04,0,<null>,<null>,<null>,0,0,308.8 O,318.3 NO,<null>,6.3,<null>,<null>,
22581,2012-01-04,0,<null>,<null>,<null>,0,0,308.8 O,318.3 NO,<null>,6.3,<null>,<null>,
396,2012-01-05,0,<null>,<null>,<null>,0,0,325.3 NO,324.7 NO,<null>,<null>,<null>,<null>,
