Nombre, Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
CEPAB 2,396,2011-07-29,0,29.2,15.6,21.92,0,0,93.3 E,79.2 NE,<null>,57.28,<null>,<null>,
CEPAB 2,396,2011-07-30,0,24.7,12.9,19.45,0,0,88.8 NE,74 NE,<null>,60.3,<null>,<null>,
CEPAB 2,396,2011-07-31,0,25.9,15.6,20.07,0,0,36.6 N,53.7 NE,<null>,61.38,<null>,<null>,
CEPAB 2,396,2011-08-01,0,26.1,15.2,18.51,0,0,46.8 NE,35.2 N,<null>,70.67,<null>,<null>,
CEPAB 2,396,2011-08-02,0,28.5,19.5,24.85,0,0,82.1 NE,72.1 NE,<null>,45.32,<null>,<null>,
CEPAB 2,396,2011-08-03,0,29.3,13.4,21.47,0,0,65 NE,78.7 NE,<null>,56.75,<null>,<null>,
CEPAB 2,396,2011-08-04,0,25.6,17,21.16,0,0,122.1 E,104.6 E,<null>,61.54,<null>,<null>,
CEPAB 2,396,2011-08-05,1.7,30,15.5,21.2,0,0,81.6 NE,272.6 O,<null>,68.02,<null>,<null>,
CEPAB 2,396,2011-08-06,34,28.3,13.8,20.1,0,0,299.3 O,355.6 NO,<null>,72.82,<null>,<null>,
CEPAB 2,396,2011-08-07,1.3,28.5,13.6,20.21,0,0,,299.5 O,<null>,69.66,<null>,<null>,
CEPAB 2,396,2011-08-08,0,26.2,15.8,20.14,0,0,182.7 S,205.9 S,<null>,69.56,<null>,<null>,
CEPAB 2,396,2011-08-09,7.5,28.4,13.3,19.71,0,0,255.3 SO,,<null>,73.35,<null>,<null>,
CEPAB 2,396,2011-08-10,4.8,29.3,15.7,21.38,0,0,221.9 S,174.7 SE,<null>,70.22,<null>,<null>,
CEPAB 2,396,2011-08-11,0.6,29.1,13.8,21.57,0,0,246.2 SO,219.8 S,<null>,65.9,<null>,<null>,
CEPAB 2,396,2011-08-12,0.3,29.4,15.7,21.58,0,0,281 O,103.4 E,<null>,69.09,<null>,<null>,
CEPAB 2,396,2011-08-13,0,28.7,15,21.44,0,0,192 S,180.5 S,<null>,66.81,<null>,<null>,
CEPAB 2,396,2011-08-14,0,28,13,20.28,0,0,189.1 S,175 SE,<null>,66.31,<null>,<null>,
CEPAB 2,396,2011-08-15,0,28.3,13.4,21.14,0,0,138.6 SE,72 NE,<null>,55.35,<null>,<null>,
CEPAB 2,396,2011-08-16,0,29.4,13.2,21.33,0,0,49.3 NE,57.2 NE,<null>,53.29,<null>,<null>,
