Nombre, Numero, Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
Granja Elsa,22,2013-09-06,0,25.5,17.1,21.73,10,3.12,332.7 NO,0.2 N,311.34,57.58,1.4,<null>,
Granja Elsa,22,2013-09-07,0.6,24.5,15,18.65,16.9,5.74,46.9 NE,25.3 N,332.05,70.33,2.9,3.58,
Granja Elsa,22,2013-09-08,13,20.5,14.8,16.74,7.3,1.36,238.8 SO,30.7 N,207.47,85.86,1.3,1.96,
Granja Elsa,22,2013-09-09,1.8,24.2,13.5,17.89,9.8,2.59,197.3 S,152.8 SE,385.24,80.46,3.1,3.61,
Granja Elsa,22,2013-09-10,10.4,26.4,14.7,18.57,14,4.12,90.2 E,69.1 NE,372.63,81.27,2.9,3.68,
Granja Elsa,22,2013-09-11,0,26.7,14.6,19.67,24.9,6.23,54.7 NE,29.8 N,431.4,70.56,3.9,4.63,
Granja Elsa,22,2013-09-12,1.8,23.9,14.3,18.61,15.7,5.26,55.6 NE,23.6 N,292.74,70.16,2.7,3.46,
Granja Elsa,22,2013-09-13,0,23.5,13.6,18.28,19.6,7.2,58.3 NE,25.2 N,361.83,65.22,3.5,4.29,
Granja Elsa,22,2013-09-14,0,24.3,12.4,17.66,17,6.36,55.6 NE,21.4 N,326.97,68.88,2.8,3.85,
Granja Elsa,22,2013-09-15,18,18.9,15.2,16.79,9.6,3.81,108 E,21.7 N,144.21,87.35,0.7,1.57,
Granja Elsa,22,2013-09-16,20.6,21.9,14,16.53,18.7,4.08,107.7 E,95.1 E,225.02,90.39,1.5,2.27,
Granja Elsa,22,2013-09-17,18,23.2,15.3,17.9,11.4,4.9,143.4 SE,146.2 SE,343.69,83.83,2.7,3.43,
Granja Elsa,22,2013-09-18,6.4,25.1,15,18.62,11.4,2.77,64.6 NE,56.7 NE,279.83,80.88,2.2,3,
Granja Elsa,22,2013-09-19,0.2,26.1,15.8,19.94,9.5,1.96,64.4 NE,100.5 E,411.34,73.97,3.3,4,
Granja Elsa,22,2013-09-20,12.2,25,16.2,19.21,14.5,1.87,,270.7 O,289.82,83.06,2.1,2.83,
Granja Elsa,22,2013-09-21,21.8,25.3,14.9,18.34,12.7,2.78,56.7 NE,18.8 N,363.69,82.79,2.5,3.37,
Granja Elsa,22,2013-09-22,13.4,24,15.3,18.2,8.1,1.99,233.8 SO,355.1 NO,296.6,82.61,2.1,2.85,
Granja Elsa,22,2013-09-23,21.6,26.7,14.9,18.08,10,1.75,148.4 SE,133.8 E,434.77,87.61,3.1,3.74,
Granja Elsa,22,2013-09-24,0.8,26,15.3,19.04,20.2,3.12,61.4 NE,42.2 N,327.82,79.34,2.8,3.34,
Granja Elsa,22,2013-09-25,0,25.9,12.3,19.16,15,5.33,71 NE,50.7 NE,511.13,62.72,4.2,5.3,
Granja Elsa,22,2013-09-26,22,26.9,11.7,18.26,21.9,2.77,115 E,,459.81,70.16,3.7,4.44,
Granja Elsa,22,2013-09-27,2.6,21.4,14.5,16.73,12,3.13,132.6 E,162.3 SE,241.32,88.46,1.5,2.31,
Granja Elsa,22,2013-09-28,0.2,24.3,11.5,17.66,12.3,2.88,244.9 SO,183.9 S,504.34,77.08,3.8,4.58,
Granja Elsa,22,2013-09-29,0,26.9,13.8,19.43,13.2,2.44,56.5 NE,38.1 N,481.78,64.61,3.9,4.78,
Granja Elsa,22,2013-09-30,0,25.9,12.4,18.99,8.3,2.38,171.9 SE,97 E,492.65,68.9,4.2,4.69,
Granja Elsa,22,2013-10-01,5.2,25.6,14,18.11,17.3,3.96,105.7 E,55.1 NE,467.17,74.76,3.4,4.44,
Granja Elsa,22,2013-10-02,0,26.8,12.5,18.13,5.1,1.79,6.6 N,32.9 N,403.98,70.56,3.1,3.95,
Granja Elsa,22,2013-10-03,0,26.5,11.8,18.47,12,2.92,67 NE,28.5 N,489.26,66.03,4,4.78,
Granja Elsa,22,2013-10-04,0,27.1,10.7,18.48,14.8,3.28,66.4 NE,65.2 NE,488.31,63.35,3.9,4.92,
Granja Elsa,22,2013-10-05,0,27.4,11.1,17.81,6.2,1.88,55.3 NE,48 NE,439.75,71.09,3.5,4.23,
Granja Elsa,22,2013-10-06,0,27.5,11.6,19.63,18.6,3.09,60.4 NE,35.7 N,506.75,54.61,4.5,5.29,
Granja Elsa,22,2013-10-07,4.4,23.1,14,17.35,18.4,4.54,67.9 NE,23.5 N,323.24,74.8,2.4,3.44,
Granja Elsa,22,2013-10-08,0,24.9,9.5,16.8,15.6,3.51,62.4 NE,35.2 N,479.87,65.6,3.7,4.78,
Granja Elsa,22,2013-10-09,0,26.3,11.1,17.93,13,3.56,65.9 NE,78.1 NE,467.68,63.07,3.6,4.83,
Granja Elsa,22,2013-10-10,0,26.2,12.5,18.92,10.5,2.02,79.9 NE,123.1 E,431.6,66.89,3.5,4.34,
Granja Elsa,22,2013-10-11,0,25.5,13,18.14,5.2,1.5,47.6 NE,100.6 E,326.36,75.48,2.4,3.32,
Granja Elsa,22,2013-10-12,7.6,25.7,13.2,17.72,8.6,2.43,162.1 SE,104 E,398.69,77.7,3,3.8,
Granja Elsa,22,2013-10-13,2.2,25.7,13.2,18.73,14.5,3.43,162.3 SE,50.6 NE,359.26,73.19,3.1,3.74,
Granja Elsa,22,2013-10-14,0,26.4,11.9,18.46,14.2,3.6,59.9 NE,20.7 N,443.22,64.5,3.4,4.61,
Granja Elsa,22,2013-10-15,0,27.5,9.6,18.29,9.8,2.52,69.1 NE,43.3 N,503.17,56.96,4.1,5.11,
Granja Elsa,22,2013-10-16,0,27.7,11.1,18.86,6.6,1.8,45.4 NE,,408.42,61.3,3.2,4.27,
Granja Elsa,22,2013-10-17,0,25.1,12,18.3,8.2,2.41,218.7 S,43.8 N,377.24,68.81,3,3.86,
Granja Elsa,22,2013-10-18,0,25,12.4,18.1,12.6,3.35,358.7 NO,348.1 NO,418.71,70.64,3.4,4.18,
Granja Elsa,22,2013-10-19,0,25.6,11.3,17.72,19.5,4.62,72.4 NE,53.6 NE,452.39,71.57,3.9,4.52,
Granja Elsa,22,2013-10-20,0,23.6,10.1,16.81,11.1,2.38,128.7 E,155.6 SE,369.06,72.7,2.7,3.7,
Granja Elsa,22,2013-10-21,0,24.4,11,17.45,6.2,1.79,278.8 O,81.5 NE,384.27,68.21,2.9,3.92,
Granja Elsa,22,2013-10-22,0,23.4,13.2,17.31,21.4,5.64,72.1 NE,17.7 N,256.85,66.18,2.1,3.46,
Granja Elsa,22,2013-10-23,0,23.5,8.4,15.24,19,5.85,70 NE,37.1 N,423.39,59.29,3.7,4.92,
Granja Elsa,22,2013-10-24,0,24.1,5.1,14.63,19,5.23,63.5 NE,24.4 N,508.72,47.49,4.4,5.9,
Granja Elsa,22,2013-10-25,0,23.6,4.8,13.97,8.3,2.99,45.9 NE,10.6 N,455.61,52.69,3.6,5.08,
Granja Elsa,22,2013-10-26,0,24,8.8,15.53,12.4,4.59,60 NE,15.8 N,378.93,66.65,3.4,4.4,
Granja Elsa,22,2013-10-27,0,14.4,12.1,12.8,5.3,3.51,354.1 NO,358.7 NO,<null>,84.43,<null>,<null>,
Granja Elsa,22,2013-10-28,0,26,10.1,18.08,15.5,2.83,54.4 NE,14.5 N,393.24,65.4,3.2,4.39,
Granja Elsa,22,2013-10-29,0,26,12.7,18.31,16.8,4.44,66.2 NE,358.6 NO,410.62,66.52,3.4,4.51,
Granja Elsa,22,2013-10-30,1.2,23.9,11.1,17.31,8.7,2.49,230.6 SO,111.1 E,360.56,73.14,2.9,3.65,
Granja Elsa,22,2013-10-31,0,25.5,13.6,18.13,11.8,3.16,157.8 SE,153.8 SE,387.66,73.31,3.2,3.93,
Granja Elsa,22,2013-11-01,0.4,27.4,12.7,19.46,9.9,3.08,341.3 NO,15.1 N,462.46,64.94,3.7,4.71,
Granja Elsa,22,2013-11-02,3.6,24.6,9.9,17.29,22.1,5.9,66.5 NE,16.8 N,345.5,73.56,3,3.81,
Granja Elsa,22,2013-11-03,0,21.6,8.5,14.57,13.1,3.7,49.2 NE,118 E,363.53,71.77,2.4,3.75,
Granja Elsa,22,2013-11-04,0,22.9,12.1,16.73,13.7,5.1,168.5 SE,145.3 SE,323.28,76.21,2.5,3.54,
Granja Elsa,22,2013-11-05,0,25.1,10.3,16.93,18.4,4.63,248.1 SO,45.1 NE,447.59,72.49,3.6,4.6,
Granja Elsa,22,2013-11-06,3.6,24.3,11.1,16.29,15.7,2.84,50.2 NE,18 N,294.99,74.7,1.9,3.32,
Granja Elsa,22,2013-11-07,0,22.2,10.3,15.58,24,10.29,57.6 NE,40.8 N,287.24,65.38,3,4.19,
Granja Elsa,22,2013-11-08,0,21.8,12,15.9,13.4,3.89,67.3 NE,41.4 N,336.86,65.22,2.4,3.91,
Granja Elsa,22,2013-11-09,0,24.9,9.4,16.72,14.4,2.57,59.7 NE,351.8 NO,429.16,65.57,3.3,4.5,
Granja Elsa,22,2013-11-10,0,23,9.9,15.99,16.6,4.8,51 NE,14.1 N,451.8,66.53,3.8,4.83,
Granja Elsa,22,2013-11-11,0,23.9,9.1,16,12.6,4.59,36.3 N,24.5 N,416.8,62.16,3.3,4.7,
Granja Elsa,22,2013-11-12,0,20.7,9.3,14.79,18.2,5.92,47.5 NE,22.5 N,321.01,67.3,2.4,3.91,
Granja Elsa,22,2013-11-13,9,13.6,7.9,10.64,25.1,6.09,65.1 NE,,133.01,81.91,0.6,1.71,
Granja Elsa,22,2013-11-14,3,19,7.2,11.81,7.2,1.56,57.2 NE,304.2 O,300.83,78.57,1.8,3.29,
Granja Elsa,22,2013-11-15,0.6,21.3,10.8,15.58,7.5,1.55,183.1 S,95.1 E,276.83,73.28,1.8,3.33,
Granja Elsa,22,2013-11-16,3,19,12.5,14.51,10,2.56,194.2 S,122.9 E,159.9,87.17,0.8,2.1,
Granja Elsa,22,2013-11-17,0,23.8,10.2,15.03,6.4,1.44,216.9 S,104.5 E,358.87,78.81,2.3,3.71,
