Fecha, Pp, T. Máx, T. Mín, T. Med, VV Máx, VV, DWW, DV, Rag. G, HR, ET, EP 
09/09/2015 00:00,3.6,29.2,13.1,19.71,9.8,1.57,242.80 SO,159.00 SE,476.79,74.04,4.2,4.3,
10/09/2015 00:00,0.2,26.7,12.5,18.18,6.3,1.40,184.40 S,161.10 SE,390.91,79.40,3.2,3.5,
11/09/2015 00:00,3.0,25.4,15.6,18.50,10.7,1.70,262.90 SO,174.70 SE,301.97,81.60,2.3,2.9,
12/09/2015 00:00,21.2,25.4,14.2,18.41,9.1,2.35,277.20 O,30.40 N,347.08,80.86,2.7,3.3,
13/09/2015 00:00,10.6,23.7,15.2,17.71,7.0,1.81,262.10 SO,43.00 N,281.22,83.75,1.9,2.7,
14/09/2015 00:00,3.4,26.0,14.5,18.08,9.4,1.58,,199.00 S,389.01,81.73,3.2,3.5,
15/09/2015 00:00,0.2,25.5,13.2,18.28,5.9,0.92,88.60 NE,187.00 S,347.67,82.18,2.9,3.2,
16/09/2015 00:00,0.0,26.7,13.2,19.74,6.8,1.59,88.90 NE,52.90 NE,386.62,72.14,3.2,3.8,
17/09/2015 00:00,0.0,25.5,15.5,19.50,5.9,1.49,68.60 NE,67.20 NE,396.11,72.41,3.0,3.8,
18/09/2015 00:00,0.0,27.7,14.7,19.66,3.9,0.66,250.50 SO,357.10 NO,365.97,73.53,3.0,3.5,
19/09/2015 00:00,0.0,28.7,13.9,20.12,4.2,1.01,61.90 NE,147.10 SE,489.02,68.12,4.1,4.4,
20/09/2015 00:00,0.0,27.4,10.6,18.70,6.5,1.38,74.10 NE,64.30 NE,512.09,65.43,4.4,4.7,
21/09/2015 00:00,0.0,27.8,11.9,18.43,5.3,1.13,,174.80 SE,469.20,68.72,3.8,4.3,
22/09/2015 00:00,0.0,27.3,12.5,19.61,8.6,2.37,90.10 E,84.50 NE,426.57,63.26,3.6,4.3,
23/09/2015 00:00,0.0,25.4,11.7,17.73,6.5,1.71,91.30 E,112.60 E,372.31,70.67,3.0,3.6,
24/09/2015 00:00,0.0,27.3,10.0,17.90,4.7,1.31,93.30 E,61.80 NE,448.67,68.77,3.7,4.2,
25/09/2015 00:00,0.8,25.9,12.8,17.85,10.7,2.35,69.80 NE,129.30 E,394.07,71.22,3.0,3.9,
26/09/2015 00:00,0.0,25.0,9.0,17.03,5.8,1.49,43.70 N,95.70 E,463.37,65.80,3.6,4.4,
27/09/2015 00:00,0.0,25.0,9.2,16.51,4.8,1.51,181.10 S,6.20 N,423.48,64.97,3.4,4.2,
28/09/2015 00:00,0.0,26.0,6.5,15.64,7.8,1.78,62.00 NE,10.10 N,477.74,62.80,4.0,4.7,
29/09/2015 00:00,0.0,27.1,8.1,17.33,8.0,1.83,96.10 E,60.00 NE,443.21,59.52,3.9,4.6,
30/09/2015 00:00,0.0,24.9,8.0,17.14,10.1,3.16,38.80 N,57.20 NE,387.31,59.43,3.5,4.4,
Totales,43.0,26.34545,12.08636,18.261818,7.17273,1.640909,127.59 E,110.68 E,408.654091,71.379545,73.6,86.19999999999999,
