Fecha, Pp, T. Máx, T. Mín, T. Med, VV Máx, VV, DWW, DV, Rag. G, HR, ET, EP 
2014-02-01,0,24.6,6.2,14.65,9.2,3.45,210.80 S,206.10 S,374.91,38.72,3.2,5.26,
2014-02-02,0,25.6,6.1,14.97,8.8,4.58,251.00 SO,222.20 S,394.48,36.68,3.2,5.65,
2014-02-03,0,25.4,1.8,13.71,8.6,3.24,175.30 SE,210.90 S,384.72,41.35,3.4,5.09,
2014-02-04,0,25,5,15.05,9.3,4.46,287.80 O,238.50 SO,397.61,45.15,3.7,5.25,
2014-02-05,0,24.9,2,14.16,9.3,3.28,218.30 S,215.90 S,402.79,47.78,3.4,4.99,
2014-02-06,0,24.9,5.3,15.04,8.1,2.87,204.80 S,205.20 S,403.29,46.31,3.1,4.99,
2014-02-07,0,24.1,4,14.72,11.3,2.94,259.40 SO,239.90 SO,403.58,41.98,3,5.07,
2014-02-08,0,25.8,3.5,14.19,6,1.97,209.40 S,186.80 S,400.46,39.68,3.1,4.98,
2014-02-09,0,26.2,4.3,14.65,6.3,1.64,15.20 N,125.10 E,406.45,34.28,3.2,5.1,
2014-02-1,0,26.3,3.5,15.13,6,1.79,112.70 E,183.40 S,408.85,38.45,3.3,5.06,
2014-02-11,0,24.9,3,14.83,11.5,3.82,261.00 SO,229.70 SO,380.96,33.53,3.7,5.36,
2014-02-12,0,23.6,1.9,14.54,7.6,2.55,233.10 SO,74.00 NE,428.03,26.48,3.4,5.55,
2014-02-13,0,26.2,1,13.89,8.2,2.52,200.90 S,183.30 S,430.74,33.32,3.6,5.47,
2014-02-14,0,25.5,2,14.21,6.2,2,38.90 N,84.40 NE,435.75,32.47,3.4,5.42,
2014-02-15,0,26.2,2.4,15.01,6.3,2.22,55.20 NE,161.90 SE,440.06,29.07,3.6,5.62,
2014-02-16,0,26.6,2.2,14.69,5.6,2.01,207.40 S,131.50 E,450.88,31.41,3.5,5.58,
2014-02-17,0,27.3,4.1,15.92,7.7,2.77,356.20 NO,7.50 N,449.52,29.86,3.7,5.8,
2014-02-18,0,27.4,4.2,16.06,4.9,2.15,202.40 S,175.30 SE,443.38,31.76,3.6,5.53,
2014-02-19,0,27.4,4,16.43,7.3,2.24,274.70 O,227.80 SO,442.98,37.78,3.9,5.36,
2014-02-2,0,25.2,6.5,16.46,12,3.74,279.10 O,233.70 SO,393.02,35.9,3.6,5.27,
2014-02-21,0,24.6,3,14.11,8.2,2.15,206.50 S,181.70 S,399.63,40.81,3,4.83,
2014-02-22,0,25.2,6.6,15.22,7.9,2.22,215.70 S,200.20 S,316.25,43.43,2.6,4.27,
2014-02-23,0,25.1,3.8,15.36,8.1,2.43,201.10 S,189.00 S,455.84,44.45,3.8,5.26,
2014-02-24,0,25.7,5.2,15.97,7.7,2.53,202.70 S,181.30 S,455.45,46.75,3.7,5.25,
2014-02-25,0,24,5.8,14.83,7.2,2.21,236.50 SO,243.40 SO,268.03,47.93,2.1,3.78,
2014-02-26,0,26.8,4.4,16.26,10.7,2.99,285.10 O,253.00 SO,489.45,41.65,4.3,5.7,
2014-02-27,0,25.5,8.2,17.19,8.4,3.14,280.30 O,67.00 NE,510.8,34.28,4.1,6.03,
2014-02-28,0,27.3,2.2,15.63,7.8,2.57,250.80 SO,203.50 S,516.32,31.09,4.4,6.06,
Totales,0,25.61785714285714,4.007142857142857,15.102857142857145,8.078571428571431,2.731428571428571,211.87 S,180.79 S,417.29392857142864,37.941071428571426,96.60000000000002,147.57999999999998,
