Fecha, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
2015-02-01,0.2,16.1,8.9,12.23,20.5,9.27,203.10 S,188.80 S,167.16,67.34,1.3,3,
2015-02-01,0.2,16.1,8.9,12.23,20.5,9.27,203.10 S,188.80 S,167.16,67.34,1.3,3,
2015-02-02,10.4,13.3,9.7,11.23,9.4,3.46,161.20 SE,188.40 S,102.56,86.84,0.5,1.44,
2015-02-02,10.4,13.3,9.7,11.23,9.4,3.46,161.20 SE,188.40 S,102.56,86.84,0.5,1.44,
2015-02-03,2.2,18.2,7.7,12.71,20.9,10.45,206.00 S,194.70 S,258.42,71.69,1.8,3.9,
2015-02-03,2.2,18.2,7.7,12.71,20.9,10.45,206.00 S,194.70 S,258.42,71.69,1.8,3.9,
2015-02-04,0,19.5,2,10.75,9.4,4.82,25.90 N,14.50 N,446.12,59.92,3.2,5.33,
2015-02-04,0,19.5,2,10.75,9.4,4.82,25.90 N,14.50 N,446.12,59.92,3.2,5.33,
2015-02-05,0,20.6,2.7,11.39,12.7,6.57,351.50 NO,10.40 N,385.88,50.28,2.7,5.43,
2015-02-05,0,20.6,2.7,11.39,12.7,6.57,351.50 NO,10.40 N,385.88,50.28,2.7,5.43,
2015-02-06,0,20.1,4.7,12.07,14,6.76,9.50 N,,398.16,50.83,2.9,5.52,
2015-02-06,0,20.1,4.7,12.07,14,6.76,9.50 N,,398.16,50.83,2.9,5.52,
2015-02-07,0,23.6,0.1,11.83,7.4,3.25,54.00 NE,27.80 N,435.77,45.12,3.5,5.49,
2015-02-07,0,23.6,0.1,11.83,7.4,3.25,54.00 NE,27.80 N,435.77,45.12,3.5,5.49,
2015-02-08,0,24.6,1.6,13.45,10.9,3.81,53.70 NE,11.50 N,462.74,37.32,4.2,6,
2015-02-08,0,24.6,1.6,13.45,10.9,3.81,53.70 NE,11.50 N,462.74,37.32,4.2,6,
2015-02-09,0,24.7,2.9,13.94,11.9,5.64,20.80 N,30.30 N,465.31,31.4,4.1,6.54,
2015-02-09,0,24.7,2.9,13.94,11.9,5.64,20.80 N,30.30 N,465.31,31.4,4.1,6.54,
2015-02-1,0,23.6,2.1,13.94,8,4.02,184.10 S,160.00 SE,450.97,34.46,3.5,5.93,
2015-02-1,0,23.6,2.1,13.94,8,4.02,184.10 S,160.00 SE,450.97,34.46,3.5,5.93,
2015-02-11,0,24.3,3.3,14.63,10.1,3.39,210.90 S,279.70 O,419.46,35.29,3.5,5.53,
2015-02-11,0,24.3,3.3,14.63,10.1,3.39,210.90 S,279.70 O,419.46,35.29,3.5,5.53,
2015-02-12,8.4,23.2,6.9,12.75,17,6.09,346.20 NO,188.40 S,316.82,62.9,2.2,4.26,
2015-02-12,8.4,23.2,6.9,12.75,17,6.09,346.20 NO,188.40 S,316.82,62.9,2.2,4.26,
2015-02-13,10.2,13.8,8.6,10.59,9,5.04,110.50 E,34.70 N,151.06,82.77,0.7,2.01,
2015-02-13,10.2,13.8,8.6,10.59,9,5.04,110.50 E,34.70 N,151.06,82.77,0.7,2.01,
2015-02-14,0,16.1,7.1,11.92,9.1,3.56,164.80 SE,139.70 SE,240.07,77.7,1.3,3.03,
2015-02-14,0,16.1,7.1,11.92,9.1,3.56,164.80 SE,139.70 SE,240.07,77.7,1.3,3.03,
2015-02-15,0,18.7,11.2,13.94,15.4,6.33,174.00 SE,171.40 SE,257.9,73.88,1.7,3.54,
2015-02-15,0,18.7,11.2,13.94,15.4,6.33,174.00 SE,171.40 SE,257.9,73.88,1.7,3.54,
2015-02-16,0.8,21,10.1,14.89,16.2,7.26,152.80 SE,202.30 S,341.7,66.79,2.7,4.52,
2015-02-16,0.8,21,10.1,14.89,16.2,7.26,152.80 SE,202.30 S,341.7,66.79,2.7,4.52,
2015-02-17,0,21.9,8.2,15.03,12.3,4.12,266.60 SO,244.50 SO,403,57.44,3.3,4.85,
2015-02-17,0,21.9,8.2,15.03,12.3,4.12,266.60 SO,244.50 SO,403,57.44,3.3,4.85,
2015-02-18,0,25.1,5.5,14.23,9.6,4.77,185.90 S,14.50 N,472.01,54.67,3.9,5.48,
2015-02-18,0,25.1,5.5,14.23,9.6,4.77,185.90 S,14.50 N,472.01,54.67,3.9,5.48,
2015-02-19,0,26.2,5.2,15.63,9.2,3.26,120.20 E,191.80 S,475.79,50.62,4,5.42,
