Mes, Anio, Pp, T_Max, T_Min, T_Med, VV_Max, VV, DWW, DV, Rag_G, HR, ET, EP 
Enero,2015,0.00,0.00,0.00,0.00,0.00,0.00,0.00 N,0.00 N,,,,,
Febrero,2015,22.80,22.07,5.25,13.34,11.43,4.43,148.74 SE,131.99 E,344.8467741935486,52.74806451612904,161.20000000000002,286.58,
Marzo,2015,64.40,22.73,5.81,14.30,12.96,5.47,176.60 SE,160.44 SE,387.9150000000001,49.94428571428573,186.19999999999996,258.76,
Abril,2015,186.40,22.64,7.86,15.18,14.70,5.77,175.24 SE,172.14 SE,393.20516129032256,55.5274193548387,213.60000000000002,305.9200000000001,
Mayo,2015,21.20,27.11,10.92,19.36,15.63,5.90,209.35 S,198.57 S,435.61033333333336,45.09466666666666,272.8,330.36,
Junio,2015,72.40,28.91,12.00,20.75,15.00,5.38,187.51 S,196.11 S,475.35903225806453,45.492580645161304,312,337.1600000000001,
Julio,2015,270.00,26.95,14.93,20.20,11.44,3.77,154.53 SE,114.35 E,429.2586666666666,63.90533333333334,244.20000000000002,266.53999999999996,
Agosto,2015,116.00,26.44,12.72,18.83,8.99,2.13,135.21 SE,124.94 E,441.15290322580654,68.71741935483871,217.79999999999993,264.68,
Septiembre,2015,114.00,27.17,11.90,18.97,7.93,1.78,153.62 SE,145.73 SE,460.3196774193547,66.61806451612902,251.99999999999997,273.76,
Octubre,2015,90.80,26.67,12.12,18.52,7.22,1.62,141.09 SE,124.19 E,417.1813333333333,70.998,208.4,241.22,
Noviembre,2015,51.60,26.11,10.84,17.81,9.61,2.79,192.92 S,117.26 E,394.95153846153846,67.48384615384614,82.4,107.62000000000002,
Diciembre,2015,0.00,0.00,0.00,0.00,0.00,0.00,0.00 N,0.00 N,,,,,
